s,d
http://www.wikidata.org/entity/Q2072808,1998-08-15T00:00:00Z
http://www.wikidata.org/entity/Q21620698,1998-08-09T00:00:00Z
http://www.wikidata.org/entity/Q6266323,1998-07-30T00:00:00Z
http://www.wikidata.org/entity/Q3545812,1998-07-26T00:00:00Z
http://www.wikidata.org/entity/Q2423081,1998-07-24T00:00:00Z
http://www.wikidata.org/entity/Q234633,1998-07-22T00:00:00Z
http://www.wikidata.org/entity/Q7658742,1998-07-12T00:00:00Z
http://www.wikidata.org/entity/Q7801452,1998-07-09T00:00:00Z
http://www.wikidata.org/entity/Q433126,1998-07-03T00:00:00Z
http://www.wikidata.org/entity/Q3656378,1998-07-01T00:00:00Z
http://www.wikidata.org/entity/Q23306200,1998-06-26T00:00:00Z
http://www.wikidata.org/entity/Q11485540,1998-06-19T00:00:00Z
http://www.wikidata.org/entity/Q18169400,1998-06-18T00:00:00Z
http://www.wikidata.org/entity/Q5216309,1998-06-14T00:00:00Z
http://www.wikidata.org/entity/Q16240163,1998-06-14T00:00:00Z
http://www.wikidata.org/entity/Q22809503,1998-06-08T00:00:00Z
http://www.wikidata.org/entity/Q7087857,1998-05-29T00:00:00Z
http://www.wikidata.org/entity/Q4679666,1998-05-27T00:00:00Z
http://www.wikidata.org/entity/Q15801455,1998-05-26T00:00:00Z
http://www.wikidata.org/entity/Q15906889,1998-05-17T00:00:00Z
http://www.wikidata.org/entity/Q15402507,1998-05-12T00:00:00Z
http://www.wikidata.org/entity/Q21621945,1998-05-07T00:00:00Z
http://www.wikidata.org/entity/Q19286282,1998-05-05T00:00:00Z
http://www.wikidata.org/entity/Q18989,1998-04-24T00:00:00Z
http://www.wikidata.org/entity/Q1703669,1998-04-16T00:00:00Z
http://www.wikidata.org/entity/Q7153407,1998-04-16T00:00:00Z
http://www.wikidata.org/entity/Q234299,1998-04-06T00:00:00Z
http://www.wikidata.org/entity/Q24006595,1998-03-11T00:00:00Z
http://www.wikidata.org/entity/Q6069438,1998-02-27T00:00:00Z
http://www.wikidata.org/entity/Q19972580,1998-02-25T00:00:00Z
http://www.wikidata.org/entity/Q26924482,1998-02-25T00:00:00Z
http://www.wikidata.org/entity/Q21622600,1998-02-18T00:00:00Z
http://www.wikidata.org/entity/Q139611,1998-02-15T00:00:00Z
http://www.wikidata.org/entity/Q3122084,1998-02-08T00:00:00Z
http://www.wikidata.org/entity/Q19877061,1998-02-05T00:00:00Z
http://www.wikidata.org/entity/Q19957957,1998-01-30T00:00:00Z
http://www.wikidata.org/entity/Q27048999,1998-01-29T00:00:00Z
http://www.wikidata.org/entity/Q2263963,1998-01-24T00:00:00Z
http://www.wikidata.org/entity/Q24701532,1998-01-23T00:00:00Z
http://www.wikidata.org/entity/Q20354248,1998-01-22T00:00:00Z
http://www.wikidata.org/entity/Q934484,1998-01-12T00:00:00Z
http://www.wikidata.org/entity/Q20855932,1998-01-12T00:00:00Z
http://www.wikidata.org/entity/Q454994,1998-01-03T00:00:00Z
http://www.wikidata.org/entity/Q23770455,1997-12-29T00:00:00Z
http://www.wikidata.org/entity/Q21932386,1997-12-26T00:00:00Z
http://www.wikidata.org/entity/Q11363028,1997-12-20T00:00:00Z
http://www.wikidata.org/entity/Q16212493,1997-12-17T00:00:00Z
http://www.wikidata.org/entity/Q4177928,1997-12-16T00:00:00Z
http://www.wikidata.org/entity/Q24005226,1997-12-16T00:00:00Z
http://www.wikidata.org/entity/Q6940524,1997-12-15T00:00:00Z
http://www.wikidata.org/entity/Q1355170,1997-12-14T00:00:00Z
http://www.wikidata.org/entity/Q4885456,1997-12-11T00:00:00Z
http://www.wikidata.org/entity/Q22336954,1997-12-10T00:00:00Z
http://www.wikidata.org/entity/Q383767,1997-12-03T00:00:00Z
http://www.wikidata.org/entity/Q20740627,1997-12-01T00:00:00Z
http://www.wikidata.org/entity/Q1533517,1997-11-29T00:00:00Z
http://www.wikidata.org/entity/Q921558,1997-11-28T00:00:00Z
http://www.wikidata.org/entity/Q6409466,1997-11-27T00:00:00Z
http://www.wikidata.org/entity/Q20630799,1997-11-27T00:00:00Z
http://www.wikidata.org/entity/Q26704887,1997-11-25T00:00:00Z
http://www.wikidata.org/entity/Q8063784,1997-11-17T00:00:00Z
http://www.wikidata.org/entity/Q17523614,1997-10-31T00:00:00Z
http://www.wikidata.org/entity/Q1699301,1997-10-20T00:00:00Z
http://www.wikidata.org/entity/Q17296465,1997-10-18T00:00:00Z
http://www.wikidata.org/entity/Q17466583,1997-10-16T00:00:00Z
http://www.wikidata.org/entity/Q7688039,1997-10-11T00:00:00Z
http://www.wikidata.org/entity/Q15772548,1997-10-07T00:00:00Z
http://www.wikidata.org/entity/Q20821809,1997-10-04T00:00:00Z
http://www.wikidata.org/entity/Q2200262,1997-09-29T00:00:00Z
http://www.wikidata.org/entity/Q21622316,1997-09-19T00:00:00Z
http://www.wikidata.org/entity/Q7504223,1997-09-09T00:00:00Z
http://www.wikidata.org/entity/Q20743390,1997-09-08T00:00:00Z
http://www.wikidata.org/entity/Q7850114,1997-09-06T00:00:00Z
http://www.wikidata.org/entity/Q24452306,1997-08-31T00:00:00Z
http://www.wikidata.org/entity/Q19681762,1997-08-29T00:00:00Z
http://www.wikidata.org/entity/Q3025076,1997-08-26T00:00:00Z
http://www.wikidata.org/entity/Q23772141,1997-08-23T00:00:00Z
http://www.wikidata.org/entity/Q16862810,1997-08-16T00:00:00Z
http://www.wikidata.org/entity/Q486338,1997-08-13T00:00:00Z
http://www.wikidata.org/entity/Q16887623,1997-08-11T00:00:00Z
http://www.wikidata.org/entity/Q1770624,1997-08-10T00:00:00Z
http://www.wikidata.org/entity/Q16937047,1997-08-09T00:00:00Z
http://www.wikidata.org/entity/Q5654878,1997-08-08T00:00:00Z
http://www.wikidata.org/entity/Q972840,1997-08-04T00:00:00Z
http://www.wikidata.org/entity/Q21260552,1997-07-31T00:00:00Z
http://www.wikidata.org/entity/Q21540971,1997-07-18T00:00:00Z
http://www.wikidata.org/entity/Q19577858,1997-07-16T00:00:00Z
http://www.wikidata.org/entity/Q20744988,1997-07-16T00:00:00Z
http://www.wikidata.org/entity/Q776957,1997-07-13T00:00:00Z
http://www.wikidata.org/entity/Q18402294,1997-06-29T00:00:00Z
http://www.wikidata.org/entity/Q18977800,1997-06-28T00:00:00Z
http://www.wikidata.org/entity/Q26328884,1997-06-24T00:00:00Z
http://www.wikidata.org/entity/Q15059425,1997-06-23T00:00:00Z
http://www.wikidata.org/entity/Q6896695,1997-06-19T00:00:00Z
http://www.wikidata.org/entity/Q980063,1997-06-18T00:00:00Z
http://www.wikidata.org/entity/Q6778729,1997-06-18T00:00:00Z
http://www.wikidata.org/entity/Q19794108,1997-06-16T00:00:00Z
http://www.wikidata.org/entity/Q5458810,1997-06-10T00:00:00Z
http://www.wikidata.org/entity/Q5551564,1997-06-08T00:00:00Z
http://www.wikidata.org/entity/Q19888012,1997-06-05T00:00:00Z
http://www.wikidata.org/entity/Q1871731,1997-06-03T00:00:00Z
http://www.wikidata.org/entity/Q23883672,1997-05-24T00:00:00Z
http://www.wikidata.org/entity/Q17505113,1997-05-23T00:00:00Z
http://www.wikidata.org/entity/Q24006727,1997-05-23T00:00:00Z
http://www.wikidata.org/entity/Q19243653,1997-05-21T00:00:00Z
http://www.wikidata.org/entity/Q19968793,1997-05-16T00:00:00Z
http://www.wikidata.org/entity/Q3647258,1997-05-12T00:00:00Z
http://www.wikidata.org/entity/Q4207814,1997-05-11T00:00:00Z
http://www.wikidata.org/entity/Q7615171,1997-05-08T00:00:00Z
http://www.wikidata.org/entity/Q16145988,1997-05-08T00:00:00Z
http://www.wikidata.org/entity/Q22098260,1997-05-05T00:00:00Z
http://www.wikidata.org/entity/Q6851500,1997-05-01T00:00:00Z
http://www.wikidata.org/entity/Q19561504,1997-04-30T00:00:00Z
http://www.wikidata.org/entity/Q24439139,1997-04-30T00:00:00Z
http://www.wikidata.org/entity/Q1139898,1997-04-23T00:00:00Z
http://www.wikidata.org/entity/Q5276945,1997-04-23T00:00:00Z
http://www.wikidata.org/entity/Q24084114,1997-04-23T00:00:00Z
http://www.wikidata.org/entity/Q593150,1997-04-19T00:00:00Z
http://www.wikidata.org/entity/Q234363,1997-04-15T00:00:00Z
http://www.wikidata.org/entity/Q3813341,1997-04-12T00:00:00Z
http://www.wikidata.org/entity/Q20982637,1997-04-10T00:00:00Z
http://www.wikidata.org/entity/Q19873871,1997-04-08T00:00:00Z
http://www.wikidata.org/entity/Q18125392,1997-04-07T00:00:00Z
http://www.wikidata.org/entity/Q19929990,1997-04-04T00:00:00Z
http://www.wikidata.org/entity/Q312524,1997-04-01T00:00:00Z
http://www.wikidata.org/entity/Q21096583,1997-03-28T00:00:00Z
http://www.wikidata.org/entity/Q4696678,1997-03-23T00:00:00Z
http://www.wikidata.org/entity/Q19668502,1997-03-19T00:00:00Z
http://www.wikidata.org/entity/Q22003573,1997-03-19T00:00:00Z
http://www.wikidata.org/entity/Q14465812,1997-03-17T00:00:00Z
http://www.wikidata.org/entity/Q17486599,1997-03-13T00:00:00Z
http://www.wikidata.org/entity/Q20745140,1997-03-13T00:00:00Z
http://www.wikidata.org/entity/Q23542664,1997-03-12T00:00:00Z
http://www.wikidata.org/entity/Q2708550,1997-03-11T00:00:00Z
http://www.wikidata.org/entity/Q509903,1997-03-10T00:00:00Z
http://www.wikidata.org/entity/Q73566,1997-03-09T00:00:00Z
http://www.wikidata.org/entity/Q4205043,1997-03-03T00:00:00Z
http://www.wikidata.org/entity/Q20916833,1997-03-03T00:00:00Z
http://www.wikidata.org/entity/Q19818481,1997-02-28T00:00:00Z
http://www.wikidata.org/entity/Q237053,1997-02-25T00:00:00Z
http://www.wikidata.org/entity/Q21620962,1997-02-17T00:00:00Z
http://www.wikidata.org/entity/Q5084947,1997-02-16T00:00:00Z
http://www.wikidata.org/entity/Q7487972,1997-02-12T00:00:00Z
http://www.wikidata.org/entity/Q16240380,1997-02-12T00:00:00Z
http://www.wikidata.org/entity/Q26834208,1997-02-12T00:00:00Z
http://www.wikidata.org/entity/Q16023869,1997-02-10T00:00:00Z
http://www.wikidata.org/entity/Q16240117,1997-02-02T00:00:00Z
http://www.wikidata.org/entity/Q20676512,1997-02-02T00:00:00Z
http://www.wikidata.org/entity/Q7522255,1997-01-27T00:00:00Z
