FID;Quartiere;DataCreazione;Latitudine;Longitudine;Indirizzo;Civico;Tipologia;Foto
690;chiaia;2019-02-15T09:28:44.856Z;40.83513;14.24122;VICO 2° ALABARDIERI;36;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=c2812d29-3fb1-4db4-88c9-4e1e625a0e9e_1550222913.jpg
691;chiaia;2019-02-15T08:31:56.172Z;40.83512;14.2397;VICO BELLEDONNE A CHIAIA;SNC;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=16854b00-f7d6-4b0a-8003-d54f32abfae6_1550219465.jpg
692;chiaia;2019-04-09T08:41:04.434Z;40.8351;14.21044;VIA TORRE CERVATI;SNC;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=d46d34c0-7587-4be7-bc3d-9c99131fa2f6_1554799243.jpg
693;chiaia;2019-02-14T10:23:48.099Z;40.83509;14.23221;VIA ASCENSIONE;2A;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=3e4c36d5-7020-4d8e-a4de-d84649645c50_1550139818.jpg
694;chiaia;2019-04-09T08:40:01.302Z;40.83509;14.21062;VIA TORRE CERVATI;1;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=492ffd1c-2cc0-4bd4-9e9f-6eca484879f7_1554799188.jpg
695;chiaia;2019-02-14T10:29:38.326Z;40.83508;14.23424;VIA ASCENSIONE;Snc;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=b2f0ac7b-0f02-4221-9485-9cb0c31261af_1550140146.jpg
696;chiaia;2019-02-15T09:36:02.753Z;40.83508;14.24054;VIA BISIGNANO;59;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=b989aa65-8db6-4f87-8069-0a3a6b44eab5_1550223346.jpg
697;chiaia;2019-02-15T09:36:18.315Z;40.83504;14.24039;VIA BISIGNANO;11;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=5f13bf9b-7549-49ce-9a61-28c25612072c_1550223361.jpg
698;chiaia;2019-02-11T11:15:56.695Z;40.83504;14.22004;VIA SCHIPA MICHELANGELO;133;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=ce5044aa-358c-468e-b39e-1ea20ea69cb8_1549883727.jpg
699;chiaia;2019-02-14T10:28:53.585Z;40.83503;14.23426;VIA ASCENSIONE;5;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=70e8e707-90a4-4f5f-b817-2dc9fe002ba3_1550140122.jpg
700;chiaia;2019-02-14T10:44:09.350Z;40.83502;14.23461;VIA BAUSAN GIOVANNI;16;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=04d094d6-4892-4430-8c7f-07a149219dee_1550141028.jpg
701;chiaia;2019-02-14T10:15:11.269Z;40.83501;14.23212;VIA DEL RIONE SIRIGNANO;10;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=fc752585-c3e3-464f-b998-f2e0d0a068d8_1550139285.jpg
702;chiaia;2019-02-11T09:24:19.260Z;40.83501;14.22978;VIA CAMPIGLIONE;18;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=d70d2902-4d72-4aa4-ba09-0a9e9930b4f3_1549877045.jpg
703;chiaia;2019-04-08T08:31:12.171Z;40.83501;14.2289;VIA PONTANO;82;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=15d47eef-f52b-4946-abb5-106dbe6480ef_1554712246.jpg
