FID;Quartiere;DataCreazione;Latitudine;Longitudine;Indirizzo;Civico;Tipologia;Foto
2026;posillipo;2019-03-01T09:36:54.789Z;40.80231;14.19535;VIA S.STRATO;24;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=e08c44ca-65b8-4203-9877-25d175711c17_1551432997.jpg
2027;posillipo;2019-04-19T09:00:45.767Z;40.8023;14.19314;VIA RICCIARDI NICOLA;12;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=d85307ce-1e9c-4341-9b16-2f80eb235da3_1555664431.jpg
2028;posillipo;2019-03-22T11:19:43.052Z;40.80228;14.18958;SALITA DEL CASALE;6;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=7361f71f-d62f-494e-ba4e-903ac014fb91_1553253572.jpg
2029;posillipo;2019-04-12T08:20:37.333Z;40.80227;14.2003;VIA RUSSO FERDINANDO;2/C;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=85535e5f-0c11-4bcb-b925-b99b7278266c_1555057227.jpg
2030;posillipo;2019-03-01T09:36:33.329Z;40.80226;14.19503;VIA S.STRATO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=26a1d028-f40c-43cf-9261-7d5ca9ca466a_1551432949.jpg
2031;posillipo;2019-04-19T09:01:40.449Z;40.80225;14.19339;VIA RICCIARDI NICOLA;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=dbe58880-3f26-407d-b4e4-c10328ac4149_1555664468.jpg
2032;posillipo;2019+AC0-05+AC0-03T09:14:12.296Z;40.80224;14.18592;DISCESA GAIOLA;SNC;a raso;https://five.epicollect.net/api/media/mun01+AC0-posillipo+AC0-catasto+AC0-passi+AC0-carrai?type+AD0-photo+ACY-format+AD0-entry+AF8-original+ACY-name+AD0-1d28072b+AC0-038f+AC0-4576+AC0-8402+AC0-7ce9afbf2493+AF8-1556874832.jpg
2033;posillipo;2019-04-19T08:59:25.581Z;40.80224;14.19272;VIA RICCIARDI NICOLA;24;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=d89df88b-d42e-4e8f-825a-77562cf63b4a_1555664352.jpg
2034;posillipo;2019-04-19T08:59:40.640Z;40.80222;14.19286;VIA RICCIARDI NICOLA;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=8820e61b-bea4-48af-a260-b9e88f31b8b0_1555664369.jpg
2035;posillipo;2019-04-19T09:02:29.472Z;40.80221;14.19335;VIA RICCIARDI NICOLA;4;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=af853f93-6117-49c5-8c63-eac1ac7ebe6d_1555664534.jpg
2036;posillipo;2019-04-19T09:02:02.534Z;40.80221;14.19333;VIA RICCIARDI NICOLA;1;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=6fadfb10-06da-4f27-ae65-c73d02726c8a_1555664508.jpg
2037;posillipo;2019-04-12T09:03:38.622Z;40.80221;14.20688;VIA RUSSO FERDINANDO;17/B;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=98750814-a91c-4b72-87de-f511112762cf_1555059808.jpg
2038;posillipo;2019-04-12T08:34:51.806Z;40.8022;14.2042;VIA RUSSO FERDINANDO;SNC;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=8b8b2460-e369-457a-b5ba-7fc1b81281a0_1555057982.jpg
2039;posillipo;2019-03-01T09:34:23.550Z;40.80219;14.19435;VIA S.STRATO;22;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ce256251-540a-4bc9-8550-5cfe10f2296d_1551432844.jpg
2040;posillipo;2019-03-22T11:18:23.010Z;40.80218;14.18875;VIA BOCCACCIO GIOVANNI;2a;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=0fa0e28f-75a8-4d2c-9aef-e32548655e54_1553253466.jpg
2041;posillipo;2019+AC0-05+AC0-03T09:16:44.111Z;40.80217;14.18672;DISCESA GAIOLA;73;a raso;https://five.epicollect.net/api/media/mun01+AC0-posillipo+AC0-catasto+AC0-passi+AC0-carrai?type+AD0-photo+ACY-format+AD0-entry+AF8-original+ACY-name+AD0-2dd69d95+AC0-0acf+AC0-45a7+AC0-b482+AC0-fb2b8395a208+AF8-1556874987.jpg
2042;posillipo;2019-03-01T09:35:21.604Z;40.80217;14.19436;VIA S.STRATO;2;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=5e746a4e-d03a-40d8-b772-4c010be3028d_1551432870.jpg
2043;posillipo;2019-04-12T09:03:11.728Z;40.80214;14.20695;VIA RUSSO FERDINANDO;SNC;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=66a8e284-e8c8-4dc5-9ea4-fcb92c572b5f_1555059739.jpg
2044;posillipo;2019-04-12T08:24:35.435Z;40.80213;14.20186;VIA RUSSO FERDINANDO;29;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=7dd41bc7-157e-4fff-959e-d1206004bf45_1555057452.jpg
2045;posillipo;2019-03-22T11:19:03.275Z;40.80212;14.18866;VIA BOCCACCIO GIOVANNI;2;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=0f5834a0-c969-407b-972a-424bae4f2e2b_1553253466.jpg
2046;posillipo;2019-03-01T09:33:06.019Z;40.8021;14.19388;VIA S.STRATO;20;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=900d09c2-4185-4425-9ecd-ab6337a495b2_1551432752.jpg
2047;posillipo;2019-04-12T09:02:46.837Z;40.8021;14.20674;VIA RUSSO FERDINANDO;SNC;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=185cb5cb-35d8-4338-9925-5bb016a12de6_1555059726.jpg
2048;posillipo;2019-04-12T08:48:07.224Z;40.80208;14.20661;VIA RUSSO FERDINANDO;SNC;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=1ae55acf-63dd-4f3c-aa44-1b7e3f402e0b_1555058853.jpg
2049;posillipo;2019-04-12T08:45:55.469Z;40.80208;14.20653;VIA RUSSO FERDINANDO;SNC;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=6236aca1-bf9b-4223-9387-f3b5b34030d3_1555058725.jpg
2050;posillipo;2019-03-01T09:31:38.622Z;40.80206;14.19355;VIA S.STRATO;3;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=be6fecb6-53f9-414c-a38a-a53a3eeb8106_1551432667.jpg
2051;posillipo;2019-04-12T08:44:36.071Z;40.80206;14.20647;VIA RUSSO FERDINANDO;SNC;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=028f5f29-16f0-408a-8088-0e720d66b507_1555058650.jpg
2052;posillipo;2019-04-12T09:31:45.441Z;40.80203;14.18827;DISCESA COROGLIO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=3c9ecf46-0487-4874-a479-fa839ecff901_1555061487.jpg
2053;posillipo;2019-04-12T08:45:13.398Z;40.80201;14.20653;VIA RUSSO FERDINANDO;SNC;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=fe19f6c5-eb2b-4a94-8b7c-389bdc8c7604_1555058678.jpg
2054;posillipo;2019-04-12T08:41:31.490Z;40.80195;14.20581;VIA RUSSO FERDINANDO;5;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=cfa52996-37c6-4a77-abf3-4853825c56e8_1555058474.jpg
2055;posillipo;2019-03-01T09:30:45.519Z;40.80193;14.19286;VIA S.STRATO;19;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=333d304c-8611-439c-958c-3ceebe16e288_1551432632.jpg
2056;posillipo;2019-04-12T09:30:52.188Z;40.80193;14.18833;DISCESA COROGLIO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=91459471-b335-4caa-9a5d-9dd566e45762_1555061425.jpg
2057;posillipo;2019-04-12T09:29:46.417Z;40.80192;14.18827;DISCESA COROGLIO;7;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=d574d7f2-be63-45a5-832d-903725c86d00_1555061351.jpg
2058;posillipo;2019-04-12T08:39:16.667Z;40.8019;14.20526;VIA RUSSO FERDINANDO;23;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ddc982a4-ae53-4c03-8cd1-955d5fd1ae8c_1555058309.jpg
2059;posillipo;2019-04-12T08:37:58.207Z;40.80188;14.20507;VIA RUSSO FERDINANDO;4/G;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=657e6b5e-5c40-4f36-9e7b-26712807ea4b_1555058257.jpg
2060;posillipo;2019-04-12T08:26:05.938Z;40.80182;14.20263;VIA RUSSO FERDINANDO;27;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=920b8f6a-b92c-49e1-8752-d4ccdb3d8042_1555057555.jpg
2061;posillipo;2019-03-01T09:29:16.289Z;40.80181;14.19236;VIA S.STRATO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=330667f7-d18e-4353-89d5-4caa3fc9207e_1551432492.jpg
2062;posillipo;2019-04-12T08:36:10.773Z;40.80178;14.2047;VIA RUSSO FERDINANDO;4/D;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ccbc6215-cb3a-44e0-9d2e-8c5c4009c719_1555058157.jpg
2063;posillipo;2019-04-12T08:46:12.660Z;40.80178;14.20659;VIA RUSSO FERDINANDO;19;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=482bb724-84ae-4fc3-83a9-df17e82a553e_1555058764.jpg
2064;posillipo;2019-03-01T09:29:35.117Z;40.80176;14.19262;VIA S.STRATO;S.N.C;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=cff5a6af-cdab-4022-adea-79be38c3fd2c_1551432553.jpg
2065;posillipo;2019-04-12T09:24:54.490Z;40.80173;14.1889;DISCESA COROGLIO;3;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=2b1ded6c-7dd6-4d07-b016-5f15510c46c9_1555061083.jpg
2066;posillipo;2019-03-01T09:28:26.705Z;40.80172;14.19241;VIA S.STRATO;17;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=0791643d-9340-43a6-a565-c14a5c4c4371_1551432451.jpg
2067;posillipo;2019-04-12T08:29:56.436Z;40.80165;14.20331;VIA RUSSO FERDINANDO;30/B;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ef1a7dce-b7ef-4dbe-b1d7-0a0ca12bd1c1_1555057780.jpg
2068;posillipo;2019-03-01T09:27:26.988Z;40.80165;14.19197;VIA S.STRATO;16a;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=46ea4aad-84cc-400d-90fc-245075c2d6d2_1551432398.jpg
2069;posillipo;2019-03-22T10:37:44.439Z;40.80164;14.18366;VIALE VIRGILIO;3;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=e9ccbba5-7962-4834-8a8c-075d1d6a8a0a_1553250927.jpg
2070;posillipo;2019-03-01T09:26:51.125Z;40.80161;14.19189;VIA S.STRATO;16/B;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=944a2367-ca70-4812-83ea-8d4c8ef9357d_1551432400.jpg
2071;posillipo;2019-03-01T09:26:17.233Z;40.80159;14.1916;VIA S.STRATO;16;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=30538744-0160-44ec-a43e-22d41b5604f4_1551432355.jpg
2072;posillipo;2019-03-01T09:25:19.497Z;40.80158;14.19144;VIA S.STRATO;14;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=6bc93b49-d773-4d89-86ef-d64f99f1c727_1551432304.jpg
2073;posillipo;2019-04-12T08:27:47.225Z;40.80157;14.203;VIA RUSSO FERDINANDO;26;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=307f59bf-ea70-49d5-a995-70f97918ed21_1555057653.jpg
2074;posillipo;2019-03-01T09:25:36.050Z;40.80157;14.19144;VIA S.STRATO;15;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=1ad86854-4d59-4708-8118-82b76c5f5ba8_1551432320.jpg
2075;posillipo;2019-04-12T09:27:25.967Z;40.80155;14.18923;DISCESA COROGLIO;6;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=83612219-1ff4-4c00-bc84-0251b1e59d7f_1555061237.jpg
2076;posillipo;2019-04-12T09:26:21.195Z;40.8015;14.1893;DISCESA COROGLIO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=25efeaa6-1543-42f2-9189-4af8fdf44aea_1555061170.jpg
2077;posillipo;2019-04-19T09:12:34.132Z;40.80145;14.18859;VIA MARECHIARO;6;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=19267138-eb6c-4513-993d-64916396087d_1555665137.jpg
2078;posillipo;2019-04-19T09:11:42.218Z;40.80142;14.18862;VIA MARECHIARO;4b;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=814222cc-4062-47df-aa4a-43d5b4ed39d7_1555665092.jpg
2079;posillipo;2019-04-19T09:10:54.464Z;40.80141;14.1887;VIA MARECHIARO;4a;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=f3a0c2a2-9172-4537-ab35-34549c19a44b_1555665044.jpg
2080;posillipo;2019-03-22T11:13:15.780Z;40.80139;14.18761;VIA TITO LUCREZIO CARO;3;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=dd8b63b0-2835-4e21-9d5b-8f20e1bb99f9_1553253116.jpg
2081;posillipo;2019-04-19T09:11:42.804Z;40.80138;14.18865;VIA MARECHIARO;8;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=5fb41bba-6186-424e-b033-e58b6559fcb3_1555665088.jpg
2082;posillipo;2019-04-19T09:14:57.570Z;40.80138;14.19278;VIA ALFANO FRANCO;1b;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=22a8b1c9-f4c7-487d-8a60-a91272cfb8db_1555665288.jpg
2083;posillipo;2019-03-01T09:24:43.345Z;40.80136;14.19078;VIA S.STRATO;12;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=7d786e04-5ed6-42f3-b7de-23edc6c0f9dd_1551432203.jpg
2084;posillipo;2019-04-19T09:10:49.185Z;40.80132;14.1891;VIA MARECHIARO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=c0d5e69d-0c3d-4ced-90a3-28ea441b44d6_1555665014.jpg
2085;posillipo;2019-04-19T09:15:04.404Z;40.80129;14.19257;VIA ALFANO FRANCO;1/A;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=01c10bfe-f731-4b0b-866b-ad85801d367f_1555665288.jpg
2086;posillipo;2019-04-19T09:09:57.613Z;40.80128;14.18919;VIA MARECHIARO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ff159ecf-4e94-40e1-9b3e-d319ca44887c_1555664983.jpg
2087;posillipo;2019-04-19T09:08:12.393Z;40.80128;14.18955;VIA MARECHIARO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=356af0a6-2763-4a44-bba3-2ca47297cbec_1555664874.jpg
2088;posillipo;2019-04-19T09:09:17.438Z;40.80125;14.18928;VIA MARECHIARO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=b74b128c-b983-4a78-b096-5d4073a7ebce_1555664947.jpg
2089;posillipo;2019-04-19T09:09:37.156Z;40.80123;14.18939;VIA MARECHIARO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=5e806d94-6d0d-4e0c-ad64-0de522a65550_1555664948.jpg
2090;posillipo;2019-03-22T10:36:52.415Z;40.80123;14.18346;VIALE VIRGILIO;3e;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=23eb3063-f151-4ff8-b915-c4f7c38928ea_1553250997.jpg
2091;posillipo;2019-04-19T09:08:37.819Z;40.8012;14.18985;VIA MARECHIARO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=32e5a5d4-1693-4933-8cde-439ca2cb85b4_1555664863.jpg
2092;posillipo;2019-04-19T09:16:02.570Z;40.80107;14.18931;VIA MARECHIARO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=22b9af50-cbf1-45b7-9561-b178c710fa89_1555665324.jpg
2093;posillipo;2019-04-19T09:14:27.928Z;40.80107;14.18897;VIA MARECHIARO;7;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=d177e8fc-b1b4-4ecf-a50c-73882a493f16_1555665242.jpg
2094;posillipo;2019-04-19T09:16:27.589Z;40.80105;14.19263;VIA ALFANO FRANCO;6;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ee747a98-0159-4b11-8bac-31f82defcbec_1555665366.jpg
2095;posillipo;2019-04-19T09:14:42.175Z;40801;14.18912;VIA MARECHIARO;7A;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=c389df82-0300-4573-9f41-1765a3d68353_1555665262.jpg
2096;posillipo;2019-04-19T09:16:34.135Z;40.80092;14.19264;VIA ALFANO FRANCO;17;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=4f58bb6d-b754-42e2-bb90-947c3db66681_1555665373.jpg
2097;posillipo;2019-04-19T09:17:49.007Z;40.80085;14.18936;VIA MARECHIARO;10;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=c9350613-fd66-4258-bece-7c9d00187ac5_1555665409.jpg
2098;posillipo;2019-04-12T08:54:24.620Z;40.80074;14.17666;DISCESA COROGLIO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=9d37aa45-7280-4436-98e0-02aed4daeec4_1555059234.jpg
2099;posillipo;2019-04-12T08:49:45.940Z;40.80065;14.17706;DISCESA COROGLIO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=08dd8bb2-da81-4f97-94b7-61f1b5686f8d_1555058961.jpg
2100;posillipo;2019-04-19T09:17:24.552Z;40.80061;14.18932;VIA MARECHIARO;12;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=8924f8c5-376f-4678-a580-d5d303e2bc56_1555665434.jpg
2101;posillipo;2019-03-22T10:41:23.935Z;40.80056;14.18237;VIALE VIRGILIO;5;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=c6c385c6-9a91-4928-9d47-a41f77022355_1553251269.jpg
2102;posillipo;2019-03-22T11:04:13.271Z;40.80049;14.18447;VIA TITO LUCREZIO CARO;20;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=2c95cc90-ec9f-4b37-b212-5d3ca372007a_1553252642.jpg
2103;posillipo;2019-04-19T09:18:38.123Z;40.80048;14.18926;VIA MARECHIARO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=6fae7ce1-7872-4551-9f3c-753ed467deed_1555665487.jpg
2104;posillipo;2019-04-12T08:38:48.790Z;40.80047;14.18073;DISCESA COROGLIO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=73f66a6b-c566-4717-83c2-9e9bf63c8f1a_1555058267.jpg
2105;posillipo;2019-03-22T10:40:58.415Z;40.80025;14.18179;PARCO PARCO VIRGILIANO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=73edd21f-af1d-4965-8e68-4ae6a1d161c9_1553251195.jpg
2106;posillipo;2019-03-22T11:03:30.240Z;40.8002;14.18415;VIA TITO LUCREZIO CARO;20/A;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=82d28639-4ae9-4c4d-8465-3e2b1a7856ac_1553252573.jpg
2107;posillipo;2019-04-19T09:20:17.786Z;40.80012;14.19256;VIA ALFANO FRANCO;17/A;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=91acd4c3-18df-4f2d-8d77-0554d316b299_1555665582.jpg
2108;posillipo;2019-03-22T11:02:46.443Z;40.80002;14.18407;VIA TITO LUCREZIO CARO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=28921cd2-b213-4f07-be8f-e888314ca41c_1553252556.jpg
2109;posillipo;2019-03-22T10:42:38.689Z;40.79995;14.18183;VIA TITO LUCREZIO CARO;44;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=6cd8f345-6eae-44d4-9add-26284c73b2c0_1553251335.jpg
2110;posillipo;2019-04-12T08:43:07.207Z;40.79995;14.17614;DISCESA COROGLIO;36;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=3583fb2c-2a69-4349-827b-90a21e37c1e3_1555058566.jpg
2111;posillipo;2019-03-22T10:43:17.410Z;40.79986;14.1818;VIA TITO LUCREZIO CARO;40;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=1faf95ef-ef1f-475e-8852-9e8b82975d49_1553251386.jpg
2112;posillipo;2019-04-19T09:22:47.468Z;40.79977;14.19261;VIA ALFANO FRANCO;19;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=72800b87-78d9-428e-a5a6-dbc4ee371af3_1555665756.jpg
2113;posillipo;2019-03-22T11:06:40.353Z;40.79974;14.18516;VIA TITO LUCREZIO CARO;10;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=f9b320cc-022d-49b6-b9d5-5369e859c4dd_1553252740.jpg
2114;posillipo;2019-04-19T09:19:56.678Z;40.79973;14.18913;VIA MARECHIARO;14;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=4e089ea7-213c-4ccc-a812-913bb54e14c6_1555665579.jpg
2115;posillipo;2019-03-22T11:09:20.075Z;40.7996;14.1873;VIA TITO LUCREZIO CARO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=baec96de-5286-4344-96a2-3853b875f3b5_1553252945.jpg
2116;posillipo;2019-04-19T09:23:45.747Z;40.79948;14.19273;VIA ALFANO FRANCO;31;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=cd484dc3-96f4-4ebe-bd3e-d729348e3273_1555665810.jpg
2117;posillipo;2019-04-19T09:20:52.351Z;40.79939;14.18908;VIA MARECHIARO;24;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=540089dd-9ef7-42f9-b7ef-b85369b2ff7f_1555665618.jpg
2118;posillipo;2019-04-30T08:48:11.292Z;40.79937;14.18511;DISCESA GAIOLA;3;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=1a4d6d9e-ea6d-4ff3-8e67-16522d175b96_1556614076.jpg
2119;posillipo;2019-04-19T09:24:21.564Z;40.79926;14.19272;VIA ALFANO FRANCO;28;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ffa67781-55fc-4aaf-8039-60e361b909e9_1555665844.jpg
2120;posillipo;2019-04-19T09:21:14.713Z;40.79922;14.18921;VIA MARECHIARO;26;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=f911454e-25f5-437f-9b92-7a4ac49e5f81_1555665653.jpg
2121;posillipo;2019-03-22T10:58:33.437Z;40.79917;14.18329;VIA TITO LUCREZIO CARO;22;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=3daeb4b9-7754-41b6-88f8-581c3bd55ba6_1553252304.jpg
2122;posillipo;2019-03-22T11:08:43.132Z;40.79913;14.18648;VIA TITO LUCREZIO CARO;8;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ab6625b8-ee4e-4a0f-b144-56d81d268ea3_1553252890.jpg
